timestamp_utc,category,name,method,source,install_path,size_mb,notes
2026-09-20T17:50:00Z,dataset,south-building (COLMAP reference dataset),wget + unzip,https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip,~/roomrecon/datasets/south-building,467,"128 JPEGs at 3072x2304 (224MB) + reference sparse/ model; the 400MB zip was deleted after extraction; note demuc.de/colmap/datasets URLs are 404 - datasets now live on GitHub releases; safe to delete after M1 COLMAP+3DGS runs"
2026-09-20T20:13:00Z,toolchain,ORB_SLAM3 (built),cmake/make,built from ~/roomrecon/toolchain/ORB_SLAM3,~/roomrecon/toolchain/ORB_SLAM3,457,"BUILT OK: libORB_SLAM3.so + mono_tum/mono_kitti/mono_euroc/mono_tum_vi; includes 139MB extracted ORBvoc.txt + build artifacts; requires the 3 patches logged below"
2026-09-20T20:50:00Z,evidence,COLMAP sparse reconstruction (south-building 960px),colmap CLI,scripts/_wsl_run_colmap.sh,~/roomrecon/work/south-building-960/sparse/0,31,"PASS T1: 128/128 images registered, 1 camera, 58040 points, 336986 observations, mean track length 5.81, mean reprojection error 0.315px. Timings (T1, CPU-only COLMAP, 8 threads): extraction 33s, exhaustive matching ~23min total, mapping 3.1min. NOTE exhaustive matching is O(n^2) - for video input use sequential_matcher in M3"
2026-09-20T20:50:00Z,evidence,3DGS training run 1 (gsplat MCMC cap250k 7k steps),scripts/_wsl_train_3dgs.sh,derived from COLMAP sparse above,~/roomrecon/work/south-building-960/3dgs_cap250000_steps7000,146,"PASS T1 (RTX 3050 6GB): PSNR 22.31 / SSIM 0.770 / LPIPS 0.270 on held-out views. Wall clock 467s total (411.9s train @16.4 it/s + JIT kernel compile ~7min one-off). num_GS 250000 (pegged at cap_max). PEAK GPU 2249 MiB total incl 1389 MiB desktop baseline => 3DGS itself used ~860 MiB of ~4.7GB available; torch-allocated 0.40GB. HEADROOM IS LARGE - 6GB is far less binding than assumed, cap can rise substantially. Outputs: 57MB .ply + 57MB ckpt + traj video"
2026-09-20T21:10:00Z,evidence,browser viewer spike (Three.js GaussianSplats3D 0.4.7),storage/projects/m1-spike/index.html,CDN jsdelivr @mkkellogg/gaussian-splats-3d,storage/projects/m1-spike,57,"PASS T1 risk#3: 250k-splat scene renders correctly in-browser via Three.js (matches frozen React+Three.js stack). Load 5.4-6.0s for 57MB .ply over localhost. GPU time via EXT_disjoint_timer_query_webgl2 at 1024x768, 58/60 valid samples: median 2.85ms (351fps), mean 5.32ms (188fps), p95 31.1ms (32fps), worst 37.4ms (27fps) - note the VARIANCE, typical frames are cheap but spikes dip to ~30fps. Caveat: GPU raster time only; depth sort runs async in a worker and is not included. JS-clock timing was invalid (performance.now clamped to 0.1ms, gl.finish non-blocking) - use timer queries, not Date/performance deltas"
2026-09-20T21:35:00Z,evidence,3DGS drjohnson (indoor) cap1M 15k steps,scripts/_wsl_train_3dgs.sh,~/roomrecon/datasets/deepblending/db/drjohnson,~/roomrecon/work/drjohnson_cap1000000_steps15000,973,"PASS T1: PSNR 27.17 / SSIM 0.871 / LPIPS 0.289 - BUT these are the step-6999 eval; gsplat eval_steps default [7000,30000] so with max_steps=15000 the FINAL model was never evaluated (set eval_steps explicitly next time). Wall clock 1674s (28min) at 8.7 it/s vs 16.4 it/s for 250k. num_GS pegged at 1M cap. Peak GPU 3883 MiB incl 1678 baseline => 3DGS ~2.2GB of ~4.5GB usable. Final ply 226MB. Indoor beats outdoor by ~5dB PSNR (22.31 south-building) - indoor dense coverage with no foliage suits 3DGS"
2026-09-20T21:40:00Z,evidence,browser viewer @1M splats - VIEWER IS THE BOTTLENECK,storage/projects/m1-spike,GPU timer queries 1024x768,storage/projects/m1-spike,226,"994153 splats load in 12.3s (226MB). GPU time: median 8.2ms (122fps), mean 22.4ms (45fps), p95 127.5ms (8fps), worst 140.5ms (7fps). vs 250k: median 2.85ms/351fps, p95 31.1ms/32fps. KEY M1 CONCLUSION: 6GB VRAM is NOT the binding constraint (1M gaussians trains in 3.9GB peak); the BROWSER is - p95 collapses from 32fps to 8fps at 4x splats, which is visible stutter. M5 needs LOD/compression or a lower cap; a 400-500k sweet spot is the likely product setting. Caveat: GPU raster only, async sort excluded, and camera was re-sorting every frame"
2026-09-20T21:30:00Z,dataset,Deep Blending drjohnson + playroom (INDOOR rooms),huggingface_hub snapshot_download,https://huggingface.co/datasets/alexmkwizu/gaussian_training_datasets (db/drjohnson db/playroom),~/roomrecon/datasets/deepblending,353,"REPLACES south-building. Indoor benchmark scenes from the original 3DGS paper - representative of RoomRecon's actual use case (walk through a room) as an outdoor facade was not. Ship COLMAP sparse/0 poses so the ~25min exhaustive matching step is skipped. drjohnson 263 imgs @1332x876 (200MB), playroom 225 imgs @1264x832 (150MB). Chose drjohnson as primary: more open floor space, clearer architecture, better coverage. Mip-NeRF360 'room' was rejected - 1338MB and this mirror has NO sparse/ poses"
2026-09-20T21:25:00Z,cleanup,south-building removed,rm -rf,n/a,n/a,-854,"deleted dataset (467MB) + work dir (387MB) + spike .ply per user request - outdoor scene superseded by indoor. Evidence preserved at ~/roomrecon/logs/m1-evidence-south-building (stats jsons, cfg, colmap stage logs); all numbers already in this CSV"
2026-09-20T21:05:00Z,finding,scene scale + up-axis conventions,n/a,analysis of exported ply + COLMAP poses,n/a,0,"Cost ~1h of debugging - record for M5 viewer. (1) Scene up-axis is +Z (COLMAP convention), NOT -Y; guessing -Y put the camera sideways. (2) min/max bounds of the splat cloud are 33 units but 5th-95th percentile content is only 1.23 units - outlier splats inflate the bbox ~27x, so auto-framing MUST use percentiles not min/max or the camera lands 30x too far and everything is sub-pixel. (3) mean splat size exp(scale)=0.0036 units. (4) gsplat .ply IS standard INRIA log/logit convention - verified, no conversion needed for browser viewers"
2026-09-20T20:30:00Z,python,fused_ssim,pip --no-build-isolation,https://github.com/rahul-goel/fused-ssim,~/roomrecon/venv,3,"needs --no-build-isolation (setup.py imports torch) and -c constraints.txt; compiled OK against nvcc 12.1 + torch 2.5.1"
2026-09-20T20:20:00Z,incident,torch upgrade regression (reverted),pip,n/a,~/roomrecon/venv,0,"'torchmetrics[image]' silently pulled torch 2.14.0+cu130 over the verified 2.5.1+cu121, ballooning venv 4.9->7.5GB and breaking CUDA-extension builds against our 12.1 nvcc (fused_ssim failed). Reverted to 2.5.1+cu121 and added ~/roomrecon/constraints.txt to pin torch/torchvision/numpy - install example deps with 'pip install -c constraints.txt' from now on. This is the ADR-005 'environment drift' risk showing up for real."
2026-09-20T20:00:00Z,python,gsplat 1.5.3 (+ jaxtyping rich pygments),pip,pypi.org,~/roomrecon/venv,15,"3DGS rasterizer chosen for the 6GB tier; compiles its CUDA kernels JIT on first use (needs nvcc + ninja, both present)"
2026-09-20T20:02:00Z,working-data,south-building downscaled to 960px,ffmpeg (generated),derived from ~/roomrecon/datasets/south-building,~/roomrecon/work/south-building-960,34,"128 images at 960x720 (originals were 3072x2304/224MB); needed because the COLMAP build is CPU-only and the usable VRAM budget is ~5GB; regenerate with scripts/_wsl_prep_images.sh"
2026-09-20T18:05:00Z,patch,ORB_SLAM3 local source patches (3),manual edit,n/a - applied to cloned source,~/roomrecon/toolchain/ORB_SLAM3,0,"NOT upstream - must be reapplied on a fresh clone. (1) CMakeLists C++11->C++17 for Pangolin 0.9.x. (2) CMakeLists trimmed to monocular-only targets (see scripts/_wsl_build_orbslam3.sh). (3) include/LoopClosing.h:226 'bool mnFullBAIdx' -> 'int' - upstream bug: used as a generation counter (int idx=mnFullBAIdx; if(idx!=mnFullBAIdx)) so as bool it saturates at true and stops detecting new global-BA requests; also illegal bool++ under C++17"
2026-09-24T15:30:00Z,evidence,ORB-SLAM3 mono TUM fr1_xyz x3 runs,scripts/_wsl_run_orbslam_tum.sh,TUM RGB-D rgbd_dataset_freiburg1_xyz (rgb only),~/roomrecon/work/orbslam3/rgbd_dataset_freiburg1_xyz,0,"PASS T1 (CPU only): 3/3 runs one map, 0 resets. ATE RMSE (Sim3-aligned keyframes) 9.3/9.3/9.0 mm on a 9.16 m path; 43-46 KFs; coverage 0.87-0.88 (monocular init takes 3.5 s); wall 39.1-39.5 s; peak RSS ~610 MiB; median tracking 19 ms/frame. Sim3 scale 1.41-1.44 = monocular scale is arbitrary per run, as expected"
2026-09-24T15:30:00Z,evidence,ORB-SLAM3 mono TUM fr3_long_office_household x3 runs,scripts/_wsl_run_orbslam_tum.sh,TUM RGB-D rgbd_dataset_freiburg3_long_office_household (rgb only),~/roomrecon/work/orbslam3/rgbd_dataset_freiburg3_long_office_household,0,"PASS T1: 3/3 runs one map, 0 resets, loop closure detected in every run (the room-walk case). ATE RMSE 10.4/20.2/14.3 mm on a 22.2 m loop; 308-314 KFs; coverage 0.99-1.00; wall 115-120 s for 2585 frames; peak RSS ~980 MiB; median tracking 17-18 ms/frame. Run-to-run spread ~2x => ORB-SLAM3 is nondeterministic, report accuracy over repeated runs only. An earlier run2 was interrupted mid-sequence and discarded; all 3 reruns are clean"
2026-09-24T15:40:00Z,correction,numpy pin is 1.26.4 not 2.2.6,pip (by gsplat examples requirements),n/a,~/roomrecon/venv,0,"The 17:31 numpy 2.2.6 row is superseded: installing gsplat example deps at 20:12 downgraded it to 1.26.4 (examples/requirements.txt says numpy<2.0.0). Every 3DGS run in this log used 1.26.4. Caught by scripts/verify_env.py on its first run - the drift check working as designed"
2026-09-24T15:45:00Z,patch,gsplat v1.5.3 simple_trainer resume support,git apply,scripts/patches/gsplat-1.5.3-resume.patch,~/roomrecon/toolchain/gsplat,0,"Upstream ckpt_*.pt holds splats + step only and --ckpt is eval-only, so upstream CANNOT resume training. Patch adds --resume_every N (atomic full-state resume.pt: splats, Adam state, LR schedulers, strategy state, torch/cuda/numpy/python RNG) and --resume. Additive only - upstream behaviour unchanged when flags are unset. Reapply on any fresh clone (setup_t2.sh does)"
2026-09-24T15:50:00Z,evidence,verify_env.py T1,scripts/verify_env.py,n/a,n/a,0,"PASS T1: python 3.10.12, torch 2.5.1+cu121, RTX 3050 6GB sm_86 (5.0 GiB free at idle), nvcc 12.1, gsplat 1.5.3 + resume patch, numpy 1.26.4, fused_ssim, torchmetrics 1.9.0, ffmpeg 4.4.2, COLMAP 3.7, ORB-SLAM3 built"
2026-09-24T15:55:00Z,evidence,checkpoint/resume under SIGKILL (T1),scripts/_wsl_resume_test.sh,drjohnson cap250k 3000 steps resume_every 500,~/roomrecon/work/m1_resume_cap250000_steps3000,0,"PASS T1: run SIGKILLed at 63 s wall (resume.pt at step 1500, ~15 s of work lost), resumed and finished. Final eval PSNR/SSIM/LPIPS: ref1 25.39/0.8434/0.3855, ref2 25.16/0.8413/0.3867, killed+resumed 25.28/0.8434/0.3833 - PSNR and SSIM inside the two uninterrupted runs, LPIPS 0.002 better than both. Within run-to-run variation (2 refs is a thin noise estimate). Uninterrupted wall 149-153 s; resumed leg 115 s. T2 demonstration still required by the gate"
2026-09-24T16:05:00Z,evidence,scripts/train.py auto-resume smoke (T1),scripts/train.py,drjohnson cap100k 600 steps resume_every 200,~/roomrecon/work/smoke_trainpy (deleted),0,"PASS T1: leg 1 SIGKILLed after resume.pt@200; re-running the identical command detected resume.pt, printed RESUMING, continued from step 200 and exited 0. run.json keeps one record per leg (tier, pipeline version, exit code, wall, peak GPU). Gap: if the launcher itself is killed its leg record is not written - the resumed leg still records resumed_from"
2026-09-25T09:57:00Z,evidence,"T2 run 1: INRIA 3DGS drjohnson 30k (Kaggle, T4 x2, 1 used)",hand-written notebook (superseded),"asw-beep/gaussian-splatting@54c035f, HF alexmkwizu/gaussian_training_datasets db/drjohnson",Kaggle session (gone),0,"T2 (Kaggle Tesla T4, 15360 MiB, driver 580.159.04; machine had 2 GPUs, training used one). Session ended ERROR in the packaging cell; numbers below are from the Kaggle log only (results.json/PLY never written). Setup 422 s (counts against GPU quota). Full 30k: wall 6422 s, peak ~9279 MiB (nvidia-smi 2 s polling, max over both GPUs), test PSNR 23.44@1k 27.47@7k 29.35@20k 29.43@30k (plateau after ~20k, no decline). metrics.py @30k on 33 test views: PSNR 29.37 / SSIM 0.904 / LPIPS 0.236. Resume (INRIA --start_checkpoint, in-session SIGKILL after chkpnt3000): reference 7k PSNR 27.49 (wall 855 s, peak 4823 MiB) vs killed+resumed 27.58 (resumed leg 611 s, peak 6573 MiB, unexplained). ONE reference only, so no noise band. INRIA code, not our gsplat path: does not close the T2 gate items. No T1 counterpart after the 09-25 reset"
2026-09-25T13:10:00Z,incident,T2 run 1 lost its outputs (multi-GPU assumption),n/a,n/a,n/a,0,"Kaggle 'NvidiaTeslaT4' = T4 x2; nvidia-smi per-GPU lines broke int() in the last cell after 2.4 GPU-hours. Fixed structurally, not patched: scripts/gpu.py (inventory + UUID pinning), t2_verdict.py (exit code = gate verdict), stage-recording run_t2.sh, generated notebook pinned to a commit, validated fetch. See docs/lessons-learned.md section 7"
2026-09-25T13:26:54Z,evidence,"T2 run 2: gsplat drjohnson via run_t2.sh (Kaggle, T4 x2, 1 used)",scripts/kaggle/m1_t2/push.sh (generated notebook),"RoomRecon@41b5dbe, HF alexmkwizu/gaussian_training_datasets db/drjohnson",scripts/kaggle/m1_t2/output (git-ignored),225,"GATE VERDICT PASSED (6/6 checks). T2 (Kaggle Tesla T4 15360 MiB, driver 580.159.04; 2 GPUs present, pinned to #0 by UUID). Stages (wall s): setup 336 (T2 cold-start setup cost, counts against GPU quota), verify env 6, data 4, baseline 1481, references 328, resume check 182. Baseline gsplat MCMC cap1M 15k steps data_factor 1: PSNR 29.39 / SSIM 0.904 / LPIPS 0.207 at step 14999, num_GS 1000000 (pegged at cap_max), peak 2083 MiB on the used GPU. Resume check cap250k 3k steps: killed+resumed 25.23/0.8415/0.3863 (resumed leg 116 s, peak 877 MiB) vs uninterrupted refs 25.35/0.8433/0.3855 and 25.40/0.8437/0.3831 (164 s each, peak ~870 MiB). Resumed PSNR is 0.13-0.18 dB below both refs while refs differ by 0.05 dB: outside the 2-ref range, reported not judged (no tolerance measured; T1 on 09-24 was inside its range). Not directly comparable with T1 09-20 drjohnson (that eval was step 6999, different stack state)"
2026-09-25T14:10:00Z,incident,T2 fetch downloaded no results (Git Bash argument rewriting),n/a,n/a,n/a,0,"push.sh fetch reported verdict.json and the artifact missing although both were in the session output. Git Bash (MSYS) rewrites any argument containing '/' as a path: the --file-pattern regex '(^|/)...' reached Kaggle as '(^|C:/Program Files/Git/)...' with every '\.' turned into '/.', so only the kernel log matched. Fixed with a slash-free pattern. The fetch validation caught it; the silent-failure class is the same as T2 run 1"
2026-09-25T15:10:00Z,evidence,"T2 run 3: --continue + 6 resume references (Kaggle, T4 x2, 1 used)",ROOMRECON_RESUME_REFS=6 push.sh push --continue,"RoomRecon@c862299, previous session output attached",scripts/kaggle/m1_t2/output (git-ignored),0,"GATE VERDICT PASSED (7/7 checks). --continue WORKS: the previous version's output mounted at /kaggle/input/roomrecon-m1-t2/work; 4 runs restored (baseline, resume check, refs 1-2) and skipped (0 s each); only refs 3-6 trained. Stages (wall s, T2): setup 322, data 32, restore 16, references 968. Ref 3 took 473 s vs 158-168 s for refs 4-6: first training in the session pays the gsplat JIT compile (not separately measured). RESUME NOISE BAND (6 uninterrupted refs, cap250k 3k steps): PSNR 25.293-25.420, mean 25.365, sd 0.047; SSIM 0.8410-0.8437; LPIPS 0.3831-0.3865. The single killed+resumed run: PSNR 25.225 (below all 6, about 3.0 sd under the mean), SSIM 0.8415 and LPIPS 0.3863 (both inside the band). One resumed sample only, so no conclusion yet: needs several resumed runs, and T1 on 09-24 had its resumed run inside its (2-ref) range. Not yet tested: a run interrupted by the session ending, then resumed in the next session"
2026-09-25T16:05:00Z,finding,MuSHRoom iPhone data: conventions and pose sources (koivu + vr_room),n/a,"Zenodo 10230733 (CC BY 4.0), koivu md5 a359dba7, vr_room md5 6c411b7b",storage/projects/m1-mushroom-inspect (git-ignored),391,"Chosen over ARKitScenes for the next ADR-006 test: real rooms, iPhone 12 Pro Max via Polycam, a separate test walk per room, laser-scan reference mesh. (1) transformations*.json are camera->world in the OpenGL camera frame: depth reprojection between frames 2 apart agrees within 5 cm for 60-80% of points under OpenGL vs 3-15% under OpenCV; our conversion reproduces 0.605 on vr_room. (2) koivu's transformations_colmap.json is an exact copy of the Polycam poses in both captures (COLMAP failed there, as the paper says), so the dataset has no image-only poses for koivu. (3) vr_room Polycam vs dataset COLMAP poses: 0.6 cm median, 1.5 cm p95, 26 cm max after similarity alignment; the dataset COLMAP poses are more depth-consistent (0.715 vs 0.604). (4) vr_room's short walk was tracked in its own Polycam frame (94 deg apart); only the dataset COLMAP poses place it in the long capture's frame, so they are used for the test walk. Consequence: our image-only arm is our own COLMAP run, not the dataset's poses. Frames: vr_room 422 long / 186 short (42 test.txt), koivu 309 images but 294 posed long / 121 short (29 test.txt)"
2026-09-25T16:10:00Z,evidence,MuSHRoom prep smoke test (vr_room subset 60 long + 20 short),scripts/mushroom_prepare.py via run_mushroom_prep.sh rehearsal,WSL COLMAP 3.7 CPU,/tmp (WSL; deleted),0,"PASS T1 (laptop WSL, COLMAP 3.7 without CUDA): device dataset registered 80/80, poses unchanged by triangulation (max 8.9e-16); image-only dataset registered 60/60 long + 17/20 short in one model; image-only camera centres vs Polycam after similarity: 1.08 cm median, 2.88 cm p95, 6.46 cm max. Timings: features 11.9 s, matching 75.3 s (sequential overlap 20 + vocab-tree loop detection), triangulation 2.2 s, mapper 19.6 s. A subset only: the full rooms run on T2"
